,total_files,earliest_commit,typescript_4.0,typescript_4.1,typescript_4.2,remapped_name_in_mapped_type,typescript_4.3,typescript_4.4,typescript_4.5,type_modifier_on_import_name,template_literal_type,named_tuple_member,short_circuit_assignment,override_on_class_method,typescript_4.7,typescript_4.9,abstract_construct_signature,extends_constraint_on_infer,accessor_keyword,static_block_in_class,import_assertion,variance_annotations_on_type_parameter,satisfies_expression
solidjs/solid,70.0,2020.0,4.0,16.0,34.0,536.0,22.0,26.0,,,529.0,164.0,499.0,,58.0,,,,,,,,
vercel/hyper,89.0,2020.0,28.0,6.0,10.0,,6.0,4.0,5.0,,,,,,14.0,7.0,,,,,,,
snabbdom/snabbdom,29.0,2020.0,7.0,,21.0,,4.0,30.0,62.0,,,,615.0,,,,,,,,,,
ReactiveX/rxjs,1594.0,2020.0,-4.0,-1.0,2.0,,3.0,,,,161.0,,,,,,,,,,,,
captbaritone/webamp,284.0,2020.0,,,,,,,,,,,,,,,,,,,,,
TanStack/table,114.0,2020.0,,,,,,,70.0,,609.0,,,,-33.0,,,,,,,,
mobxjs/mobx-state-tree,100.0,2020.0,,,,,,24.0,,,,,,,,,,,,,,,
HospitalRun/hospitalrun-frontend,326.0,2020.0,,,,,,,,,,,,,,,,,,,,,
styled-components/styled-components,107.0,2020.0,57.0,,36.0,652.0,,,,,,,94.0,,,,,,,,,,
aws-amplify/amplify-js,684.0,2020.0,,,,,,,77.0,,715.0,,,,,,,,,,,,
javascript-obfuscator/javascript-obfuscator,560.0,2020.0,2.0,-57.0,5.0,,3.0,-55.0,73.0,,36.0,2.0,,3.0,,,,,,,,,
reduxjs/redux-devtools,266.0,2020.0,301.0,211.0,115.0,,23.0,40.0,21.0,,,,,,13.0,1.0,,,,,,,
babel/babel,1159.0,2020.0,82.0,61.0,25.0,-35.0,,,16.0,-515.0,-322.0,-21.0,211.0,-27.0,31.0,3.0,-1.0,-6.0,-19.0,-114.0,,-6.0,37.0
linkedin/css-blocks,316.0,2020.0,,,,,,,,,,,,,,,,,,,,,
payloadcms/payload,633.0,2020.0,,2.0,,,,48.0,,,,,,,,,,,,,,,
electron-react-boilerplate/electron-react-boilerplate,16.0,2020.0,113.0,,172.0,,128.0,40.0,41.0,,,,,,86.0,,,,,,,,
nextui-org/nextui,580.0,2021.0,,,58.0,,100.0,169.0,,,711.0,,,,124.0,,,,,,,,
